---
table:
- - '   8       0 sda 193788 61941 12497531 1541308 182951175 6234129 10030591792 4078547633 2 910651564 4079863856'
- - '   8       1 sda1 297 0 57265 4524 14 0 4200 1221 0 3365 5744'
- - '   8       2 sda2 193458 61941 12436410 1536665 182951161 6234129 10030587592 4078546412 2 910651501 4079857259'
- - '  11       0 sr0 0 0 0 0 0 0 0 0 0 0 0'
- - ' 253       0 dm-0 164062 0 11680609 1453364 183315151 0 9808334016 198230407 2 889997884 199828966'
- - ' 253       1 dm-1 91433 0 735168 204314 696229 0 5569832 45311246 0 134074 45516560'
- - ' 253       2 dm-2 223 0 15585 2576 5173912 0 216683784 66290700 0 26642237 66294144'
- - '   8      32 sdc 19138 0 876920 138218 0 0 0 0 0 133925 138205'
- - '   8      16 sdb 8188 0 375200 75754 0 0 0 0 0 73547 75750'
- - '   8      48 sdd 1031618 0 47275784 830672 0 0 0 0 0 580253 830087'
- - '   8      64 sde 426150 0 3411920 271200 0 0 0 0 0 270872 270882'
- - ' 253       3 dm-3 49 0 2120 37 0 0 0 0 0 27 37'
headers: []
rawData: |2-
     8       0 sda 193788 61941 12497531 1541308 182951175 6234129 10030591792 4078547633 2 910651564 4079863856
     8       1 sda1 297 0 57265 4524 14 0 4200 1221 0 3365 5744
     8       2 sda2 193458 61941 12436410 1536665 182951161 6234129 10030587592 4078546412 2 910651501 4079857259
    11       0 sr0 0 0 0 0 0 0 0 0 0 0 0
   253       0 dm-0 164062 0 11680609 1453364 183315151 0 9808334016 198230407 2 889997884 199828966
   253       1 dm-1 91433 0 735168 204314 696229 0 5569832 45311246 0 134074 45516560
   253       2 dm-2 223 0 15585 2576 5173912 0 216683784 66290700 0 26642237 66294144
     8      32 sdc 19138 0 876920 138218 0 0 0 0 0 133925 138205
     8      16 sdb 8188 0 375200 75754 0 0 0 0 0 73547 75750
     8      48 sdd 1031618 0 47275784 830672 0 0 0 0 0 580253 830087
     8      64 sde 426150 0 3411920 271200 0 0 0 0 0 270872 270882
   253       3 dm-3 49 0 2120 37 0 0 0 0 0 27 37
empty: false
